Price,Close,High,Low,Open,Volume,RSI,MACD,MACD_signal,Ichimoku_base,Ichimoku_conversion,Ichimoku_span_a,Ichimoku_span_b,Bollinger_upper,Bollinger_lower
Ticker,BTC-USD,BTC-USD,BTC-USD,BTC-USD,BTC-USD,,,,,,,,,
Date,,,,,,,,,,,,,,
2024-02-08,45301.56640625,45575.83984375,44332.125,44332.125,26154524080,65.49137456119391,308.8611578424752,-74.72945739896858,42048.8671875,43727.515625,42888.19140625,43745.6328125,45155.154632080965,39302.01997729403
2024-02-09,47147.19921875,48152.49609375,45260.82421875,45297.3828125,39316770844,72.21220748161466,597.3025535857378,59.676944797972695,43337.1953125,45015.84375,44176.51953125,43745.6328125,46113.68860071206,38891.64733678794
2024-02-10,47771.27734375,48146.171875,46905.3203125,47153.52734375,16398681570,74.05243051682288,866.266545366525,220.99486491168315,43337.1953125,45208.65625,44272.92578125,43745.6328125,47058.98986650536,38568.89528974464
2024-02-11,48293.91796875,48535.9375,47617.40625,47768.96875,19315867136,75.51483763182702,1108.813465760395,398.5585850814256,43528.916015625,45400.376953125,44464.646484375,43745.6328125,47843.229771461636,38663.31046291337
2024-02-12,49958.22265625,50280.4765625,47745.76171875,48296.38671875,34511985805,79.48078315251139,1418.9720996500619,602.6412879951529,44401.185546875,46272.646484375,45336.916015625,44401.185546875,48927.446619636416,38590.36080223858
2024-02-13,49742.44140625,50358.390625,48406.49609375,49941.359375,35593051468,77.723025468472,1628.5899370319967,807.8310178025217,44440.142578125,46311.603515625,45375.873046875,44440.142578125,49740.26388099616,38744.08025962885
2024-02-14,51826.6953125,52021.37109375,49296.83203125,49733.4453125,39105608050,81.88934541479094,1940.5262757981036,1034.3700694016381,45271.6328125,47275.1953125,46273.4140625,45271.6328125,50887.20527033778,38786.42754216222
2024-02-15,51938.5546875,52820.06640625,51371.62890625,51836.78515625,38564360533,82.08301780805209,2171.729838639949,1261.8420232493004,45670.98046875,47798.01171875,46734.49609375,45670.98046875,51964.5049235534,38721.2962483216
2024-02-16,52160.203125,52537.96875,51641.3671875,51937.7265625,28180567298,82.48275660861385,2345.8045300272643,1478.6345246048932,45670.98046875,48576.095703125,47123.5380859375,45670.98046875,52919.89025812733,38769.925757497665
2024-02-17,51662.99609375,52191.9140625,50669.66796875,52161.67578125,20009091006,78.26449508506339,2415.7917811281222,1666.065975909539,45670.98046875,49040.4453125,47355.712890625,45670.98046875,53606.13800384219,39046.4182461578
2024-02-18,52122.546875,52356.96484375,51233.70703125,51661.96875,17595377311,79.31732443844358,2479.7540284307615,1828.8035864137837,46164.431640625,49862.693359375,48013.5625,45670.98046875,54323.74128800797,39212.24504011703
2024-02-19,51779.14453125,52483.32421875,51711.8203125,52134.8125,21362184346,76.3415259580502,2474.2136759222194,1957.885604315471,46182.865234375,50218.736328125,48200.80078125,45670.98046875,54852.692828992986,39565.94701475702
2024-02-20,52284.875,52945.05078125,50792.3125,51777.7265625,33353758256,77.6702069081774,2482.0199479491785,2062.712473042213,46385.37109375,50345.40625,48365.388671875,45733.47265625,55333.20055032529,40055.66624654971
2024-02-21,51839.1796875,52368.81640625,50671.7578125,52273.53515625,28624907020,73.73978238300421,2424.2968034067744,2135.0293391151254,47188.166015625,50675.7734375,48931.9697265625,45733.47265625,55666.00739738101,40599.200024494
2024-02-22,51304.97265625,52009.61328125,50926.29296875,51854.64453125,25413900611,69.2184827315379,2308.8299976011112,2169.7894708123226,47320.98046875,51120.94140625,49220.9609375,45733.47265625,55833.194399330794,41243.9243506692
2024-02-23,50731.94921875,51497.93359375,50561.77734375,51283.90625,21427078270,64.64011148582205,2146.341827125434,2165.099942074945,47381.69140625,51753.4140625,49567.552734375,45733.47265625,55811.94782127851,42039.14085059649
2024-02-24,51571.1015625,51684.1953125,50585.4453125,50736.37109375,15174077879,67.98021865467754,2061.5174722413576,2144.3834481082276,47412.12109375,51753.4140625,49582.767578125,45733.47265625,55697.142652995375,43052.69797200462
2024-02-25,51733.23828125,51950.02734375,51306.171875,51565.21484375,15413239245,68.5974384430514,1984.5005509960902,2112.4068686858,47412.12109375,51753.4140625,49582.767578125,45733.47265625,55417.72215726053,44239.57549898947
2024-02-26,54522.40234375,54938.17578125,50931.03125,51730.5390625,34074411896,76.86066580372176,2124.041685479184,2114.733832044477,48408.68359375,52749.9765625,50579.330078125,46730.03515625,55424.432571841644,45376.63813128336
2024-02-27,57085.37109375,57537.83984375,54484.19921875,54519.36328125,49756832031,81.641256084711,2413.616529470448,2174.5103715296714,49901.328125,54049.80859375,51975.568359375,48029.8671875,56053.675193739546,46024.11035313546
2024-02-28,62504.7890625,63913.1328125,56738.42578125,57071.09765625,83239156760,87.51498366166194,3045.304048287304,2348.669106881198,53088.974609375,57237.455078125,55163.21484375,51217.513671875,58371.959497941236,45426.14831455877
2024-02-29,61198.3828125,63585.64453125,60498.73046875,62499.18359375,65496611844,80.80360334152324,3401.2968587758805,2559.1946572601346,53088.974609375,57237.455078125,55163.21484375,51217.513671875,59861.339542367874,45341.88662950712
2024-03-01,62440.6328125,63155.1015625,60802.52734375,61168.0625,40186368423,82.20136036584177,3740.5442532181987,2795.4645764517477,53088.974609375,57237.455078125,55163.21484375,51217.513671875,61412.615228413364,45257.54649033663
2024-03-02,62029.84765625,62458.69921875,61657.2890625,62431.65234375,23888473685,80.12375208971574,3930.9399001804923,3022.5596411974966,53221.076171875,57237.455078125,55229.265625,51217.513671875,62589.07835175965,45454.67633574035
2024-03-03,63167.37109375,63230.2109375,61435.0234375,62031.578125,26253811450,81.51687775355643,4126.055853354017,3243.2588836288005,53344.544921875,57249.2890625,55296.9169921875,51217.513671875,63906.07968781426,45458.58984343574
2024-03-04,68330.4140625,68537.03125,62386.51953125,63137.00390625,70670471105,86.23332528829037,4643.770573679663,3523.361221638973,56434.578125,59734.03125,58084.3046875,53529.462890625,66288.61719162713,44934.84960524788
2024-03-05,63801.19921875,69170.625,59323.91015625,68341.0546875,102802940877,69.48309777902604,4635.1621696051225,3745.721411232203,57215.724609375,60050.828125,58633.2763671875,53846.259765625,67305.95892123776,45114.95826626224
